,,,random,patterns,single characters,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/comands,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,137,1234567890,x,,,,,,,,,,,,,,,,,,,,,,
0,138,fufufufufu,,,,x,,,,,,,,,,,,,,,,,,,
0,139,.;.;.;.,,x,,,,,,,,,,,,,,,,,,,,,
0,140,Takatakataka,,,,x,,,,,,,,,,,,,,,,,,,
0,141,tssss,,x,,,,,,,,,,,,,,,,,,,,,
0,142,Dios mio,,,,,,,,,,x,,,,,,,,,,,,,x
0,143,🎺🎺🎺,,,,,,,,,,,,x,,,,,,,,,,,
0,144,. .   ...   .. ...  ...   ..,,x,,,,,,,,,,,,,,,,,,,,,
0,145,.'...-.'.-.',x,,,,,,,,,,,,,,,,,,,,,,
0,146,w,,,x,,,,,,,,,,,,,,,,,,,,
0,147,tssstss,,x,,,,,,,,,,,,,,,,,,,,,
0,148,I'm online,,,,,,,,,,x,,,,,,,,x,,,,,
0,149,12121212,x,,,,,,,,,,,,,,,,,,,,,,
0,150,hmgmgmgmmmgm,,x,,,,,,,,,,,,,,,,,,,,,
0,151,"...\\\"".-.'.'..--..'..",x,,,,,,,,,,,,,,,,,,,,,,
0,152,🔊💻,,,,,,,,,,,,x,,,,,,,,,,,
0,153,Gsusjs,x,,,,,,,,,,,,,,,,,,,,,,
0,154,Miau,,,,x,,,,,,,,,,,,,,,,,,,
0,155,yeyeye,,x,,,,,,,,,,,,,,,,,,,,,
0,156,/.-./.../^.../,x,,,,,,,,,,,,,,,,,,,,,,
0,157,Bumm paaahh,,,,x,,,,,,,,,,,,,,,,,,,
0,158,🎶🎺,,,,,,,,,,,,x,,,,,,,,,,,
0,159,muito massa,,,,,,x,,,,,,,,,,,,,,,,,x
0,160,Jrikwkqliroe,x,,,,,,,,,,,,,,,,,,,,,,
0,161,"\\\""^&!",x,,,,,,,,,,,,,,,,,,,,,,
0,162,AgRg,x,,,,,,,,,,,,,,,,,,,,,,
0,163,arff,,,,x,,,,,,,,,,,,,,,,,,,
0,164,Popeye,,,,,,,,,,x,,,x,,,,,,,,,,
0,165,gentenque top,,,,,,x,,,,,,,,,,,,,,,,,x
0,166,bbbbbbbbbbbbbbbb,,x,,,,,,,,,,,,,,,,,,,,,
0,167,Banda Aberta,,,,,,x,,,,,,,,,,,,,,,,,x
0,168,Dumops,x,,,,,,,,,,,,,,,,,,,,,,
0,169,Muito bom,,,,,,x,,,,,,,,,,,,,,,,,x
0,170,cade vc?,,,,,x,,,,,,,,,,,,,,,,,,
0,171,mnmnmnmnmnmn,,x,,,,,,,,,,,,,,,,,,,,,
0,172,bbbbbbbbbbbbb,,x,,,,,,,,,,,,,,,,,,,,,
0,173,"Eu te amo, gatinha",,,,,,,,,,x,,,,,,,,,,x,,,
0,174,Eita,,,,,x,,,,,,,,,,,,,,,,,,
0,175,Bpbpvpvpvpvpvpvpvpvpvpvpco,x,,,,,,,,,,,,,,,,,,,,,,
0,176,MMMMMMMM,,x,,,,,,,,,,,,,,,,,,,,,
0,177,mmmmmnnnnnnnnnn,,x,,,,,,,,,,,,,,,,,,,,,
0,178,赤でまら雅,x,,,,,,,,,,,,,,,,,,,,,,
0,179,Tuts tuts,,,,x,,,,,,,,,,,,,,,,,,,
0,180,Gjdjsiajsjsjajs,x,,,,,,,,,,,,,,,,,,,,,,
0,181,W,,,x,,,,,,,,,,,,,,,,,,,,
0,182,opa,,,,,x,,,,,,,,,,,,,,,,,,
0,183,qqqqqqqqqqqqquuuuuuuuqqqqqq,,x,,,,,,,,,,,,,,,,,,,,,
0,184,Baile de favela,,,,,,,,,,x,,,,,,,,,,,,x,
0,185,:),,,,,,,,,,,,x,,,,,,,,,,,
0,186,Iaiaiaiaiaiaiaiaia,,,,x,,,,,,,,,,,,,,,,,,,
0,187,aeeeeeeeeee,,,,x,,,,,,,,,,,,,,,,,,,
0,188,unicamp,,,,,,,,,,x,,,,,,,,x,,,,,
0,189,Ta,,,,x,,,,,,,,,,,,,,,,,,,
0,190,Taka taka taka,,,,,,,,,,x,,,,,,,,,,,,x,
0,191,Pa,,,,x,,,,,,,,,,,,,,,,,,,
0,192,ABRAPEM,,,,,,,x,,,,,,,,,,,x,,,,,
0,193,muito criativo,,,,,,x,,,,,,,,,,,,,,,,,x
0,194,Gangnam style,,,,,,,,,,x,,,,,,,,,,,,x,
0,195,punk punk punk,,,,,,,,,,x,,,,,,,,,,,,x,
0,196,Chama todo mundo,,,,,,x,,,,,,,,,,,,,,,,,x
0,197,xixixixixiziz,,x,,,,,,,,,,,,,,,,,,,,,
0,198,Aooo,,,,x,,,,,,,,,,,,,,,,,,,
0,199,Bach,,,,,,,x,,,,,,,,,,,,,,,x,
0,200,xiri,x,,,,,,,,,,,,,,,,,,,,,,
0,201,Ooo,,,,x,,,,,,,,,,,,,,,,,,,
0,202,quero um desse pra mim,,,,,,x,,,,,,,,,,,,,,,,,x
0,203,Gritei,,,,,,,,,,x,,,,,,,,x,,,,,x
0,204,Eu,,,,,,,,,,x,,,,,,,,x,,,,,
0,205,traquilo e favoravel,,,,,,,,,,x,,,,,,,,,,,,x,x
0,206,Tu,,,,x,,,,,,,,,,,,,,,,,,,
0,207,XXXXXXX,,x,,,,,,,,,,,,,,,,,,,,,
0,208,Noiz,,,,,x,,,,,,,,,,,,,,,,,,
0,209,kkkkkkkkkkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,210,ZZZZZZ,,x,,,,,,,,,,,,,,,,,,,,,
0,211,Aaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
0,212,5555,,x,,,,,,,,,,,,,,,,,,,,,
0,213,anananananananananan,,,,x,,,,,,,,,,,,,,,,,,,
0,214,6,,,x,,,,,,,,,,,,,,,,,,,,
0,215,7,,,x,,,,,,,,,,,,,,,,,,,,
0,216,áaaaaaaaaaaaaaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
0,217,😁😬😁😬😁😬😁,,,,,,,,,,,,x,,,,,,,,,,,
0,218,8,,,x,,,,,,,,,,,,,,,,,,,,
0,219,Zzzzzzbzzzbzzzbzzzb,,x,,,,,,,,,,,,,,,,,,,,,
0,220,------,,x,,,,,,,,,,,,,,,,,,,,,
0,221,AAAAAAA,,x,,,,,,,,,,,,,,,,,,,,,
0,222,Os mano tao tipo bomba,,,,,,,,,,x,,,,,,,,,,,,x,
0,223,Redimi ho,,,,,,,,,,x,,,x,,,,,,,,,,
0,224,uuuuuuuuuuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
0,225,....... ... . .,,x,,,,,,,,,,,,,,,,,,,,,
0,226,One two três quarro,,,,,,,,,,x,,,x,,,,,,,,,,
0,227,tatatatatatatatTTTTT,,,,x,,,,,,,,,,,,,,,,,,,
0,228,Birlllllll,x,,,,,,,,,,,,,,,,,,,,,,
0,229,%%,,x,,,,,,,,,,,,,,,,,,,,,
0,230,Zica do pântano,,,,,,x,,,,,,,,,,,,,,,,,x
0,231,ta doido,,,,,,x,,,,,,,,,,,,,,,,,x
0,232,<><><><>,,x,,,,,,,,,,,,,,,,,,,,,
0,233,uuuuuuuuuuuuuuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
0,234,@@@@@@@@@@@@,,x,,,,,,,,,,,,,,,,,,,,,
0,235,A@@@@,,x,,,,,,,,,,,,,,,,,,,,,
0,236,666,,x,,,,,,,,,,,,,,,,,,,,,
0,237,Olha o que eu fiz na faculdade!,,,,,,,,,,x,,,,,,,,,,,x,,
0,238,&&&&,,x,,,,,,,,,,,,,,,,,,,,,
0,239,game of thrones,,,,,,,,,,x,,,x,,,,,,,,,,
0,240,@@@@@@@@@,,x,,,,,,,,,,,,,,,,,,,,,
0,241,Rrrrrrrrrr,,,,x,,,,,,,,,,,,,,,,,,,
0,242,Noosa,,,,,,x,,,,,,,,,,,,,,,,,x
0,243,Improviso livre,,,,,,x,,,,,,,,,,,,,,,,x,
0,244,xiri,x,,,,,,,,,,,,,,,,,,,,,,
0,245,#muitotop,,,,,,x,,,,,,,,,,,,,,,,,x
0,246,Mae tto na Abrapem,,,,,,,,,,x,,,,,,,,,,,x,,
0,247,the walking dead,,,,,,,,,,x,,,x,,,,,,,,,,
0,248,Deu jazz,,,,,,x,,,,,,,,,,,,,,,,x,
0,249,SOU STARK,,,,,,,,,,x,,,,,,,,x,,,,,
0,250,qqqqqqqqqqqqqqq,,x,,,,,,,,,,,,,,,,,,,,,
0,251,percussao,,,,,,x,,,,,,,,,,,,,,,,x,
0,252,marimba,,,,,,,,,,x,,,,,,,,,,,,x,
0,253,batera,,,,,,x,,,,,,,,,,,,,,,,x,
0,254,spider man,,,,,,,,,,x,,,,,,,,,,,x,,
0,255,kakakakakakaka,,,,,,,,,x,,,,,,,,,,,,,,
0,256,$$$$$$$$$$$$$$$$$$$$,,x,,,,,,,,,,,,,,,,,,,,,
0,257,kakakakak,,,,,,,,,x,,,,,,,,,,,,,,
1,258,/SAMPLES1,,,,,,,,,,,x,,,,,,,,,,,,
1,259,Bang,,,,x,,,,,,,,,,,,,,,,,,,
1,260,uahshahsyahshshshagshagshs,,,,,,,,,x,,,,,,,,,,,,,,
1,261,kakakakakaka,,,,,,,,,x,,,,,,,,,,,,,,
1,262,Trance,,,,,,,,,,x,,,,,,,,,,,,x,
1,263,gugigufifufifufuf,x,,,,,,,,,,,,,,,,,,,,,,
1,264,uahsuahsjdkfpgpfkrkendkfofkrkekd,,,,,,,,,x,,,,,,,,,,,,,,
1,265,q,,,,,,,,,,x,,,,,,,,,,,,,
1,266,\#$&%&-743#&&,x,,,,,,,,,,,,,,,,,,,,,,
1,267,the drums,,,,,,x,,,,,,,,,,,,,,,,x,
1,268,#(%9'9&9494)%9%,x,,,,,,,,,,,,,,,,,,,,,,
1,269,qqqqqqqqqqqaaaaqaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
1,270,Pesadão,,,,,,x,,,,,,,,,,,,,,,,,x
1,271,Tta,x,,,,,,,,,,,,,,,,,,,,,,
1,272,"Bangladesh, viva bangladesh",,,x,,,,,,,,,,x,,,,,,,,,,
1,273,Tta,x,,,,,,,,,,,,,,,,,,,,,,
1,274,Tun tcha tcha,,,,x,,,,,,,,,,,,,,,,,,,
1,275,mnmnmnmnmnmmnmnmnn,,x,,,,,,,,,,,,,,,,,,,,,
1,276,wwwwwwwwwwwwww,,x,,,,,,,,,,,,,,,,,,,,,
1,277,Ttttttttt,,x,,,,,,,,,,,,,,,,,,,,,
1,278,skrillex,,,,,,,,,,x,,,x,,,,,,,,,,
1,279,Tun tun tcha,,,,x,,,,,,,,,,,,,,,,,,,
1,280,rarrarararararararararararararararar,,x,,,,,,,,,,,,,,,,,,,,,
1,281,121212121212,,x,,,,,,,,,,,,,,,,,,,,,
1,282,Sente o Beat,,,,,,x,,,,,,,,,,,,,,,,x,
1,283,que paso que paso?,,,,,,x,,,,,,,,,x,,,,,,,,
1,284,aaaaaaaaaaaaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
1,285,333333,,x,,,,,,,,,,,,,,,,,,,,,
1,286,4/4,,,,,,x,,,,,,,,,,,,,,,,,
1,287,111111111111111,,x,,,,,,,,,,,,,,,,,,,,,
1,288,aiieiaiaieiaieoai,,,,x,,,,,,,,,,,,,,,,,,,
1,289,♡,,,,,,,,,,,,x,,,,,,,,,,,
1,290,Xaxxaxxa,,,,x,,,,,,,,,,,,,,,,,,,
1,291,Mano que dazora,,,,,,x,,,,,,,,,,,,,,,,,x
1,292,xxxxxxxxxxxxxxxxxxzzzz,,x,,,,,,,,,,,,,,,,,,,,,
1,293,Que doidoeira,,,,,,x,,,,,,,,,,,,,,,,,x
1,294,*_@,x,,,,,,,,,,,,,,,,,,,,,,
1,295,Zzzzzzzz,,x,,,,,,,,,,,,,,,,,,,,,
1,296,😃😂😂😉😉😞,,,,,,,,,,,,x,,,,,,,,,,,
1,297,xxxxxxxxxxxxxxxxxxxxxxxxxxxx,,x,,,,,,,,,,,,,,,,,,,,,
1,298,Vrum vrum,,,,x,,,,,,,,,,,,,,,,,,,
1,299,##############,,x,,,,,,,,,,,,,,,,,,,,,
1,300,tststststststststztstztstsztstst,,x,,,,,,,,,,,,,,,,,,,,,
1,301,uuuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
1,302,Pá,,,,x,,,,,,,,,,,,,,,,,,,
1,303,-_-,,,,,,,,,,,,x,,,,,,,,,,,
1,304,kkkk,,,,,,,,,x,,,,,,,,,,,,,,
1,305,\#$#\#$\#$$&%&&%&%%,x,,,,,,,,,,,,,,,,,,,,,,
1,306,ZzZZZzz,,x,,,,,,,,,,,,,,,,,,,,,
1,307,klklklklklk,,,,,,,,,x,,,,,,,,,,,,,,
1,308,,,,,,,,,,,,x,,,,,,,,,,,,
1,309,tststststststststststststtstststts,,x,,,,,,,,,,,,,,,,,,,,,
1,310,. . . . . . .,,x,,,,,,,,,,,,,,,,,,,,,
1,311,\#$#\#$\#$$\#$#\#$\#$$\#$#\#$\#$$,,x,,,,,,,,,,,,,,,,,,,,,
1,312,ttssttstssttsststststststst,,x,,,,,,,,,,,,,,,,,,,,,
1,313,:-),,,,,,,,,,,,x,,,,,,,,,,,
1,314,Tchuplek tchuplin,,,,x,,,,,,,,,,,,,,,,,,,
1,315,hhhhh,,x,,,,,,,,,,,,,,,,,,,,,
1,316,Money no bolso,,,,,,,,,,x,,,,x,,,,,,,,,
1,317,0_$,x,,,,,,,,,,,,,,,,,,,,,,
1,318,A piper morre,,,,,,,x,,,,,,,,,,,,,,x,,
1,319,tstststststststststststst,,x,,,,,,,,,,,,,,,,,,,,,
1,320,88888,,x,,,,,,,,,,,,,,,,,,,,,
1,321,()(()+))()(()()),,x,,,,,,,,,,,,,,,,,,,,,
1,322,Puts puts puts puts puts puts,,,,x,,,,,,,,,,,,,,,,,,,
1,323,tttttttttttttttttt,,x,,,,,,,,,,,,,,,,,,,,,
1,324,Spoiler alert,,,,,,,,,,x,,,,,,,,,,,x,,
1,325,0,,,x,,,,,,,,,,,,,,,,,,,,
1,326,ssssssssssssss,,x,,,,,,,,,,,,,,,,,,,,,
1,327,uuuuuuuu,,,,x,,,,,,,,,,,,,,,,,,,
1,328,....,,x,,,,,,,,,,,,,,,,,,,,,
1,329,Peppa pig,,,,,,,,,x,,,,,,,,,,,,,,
1,330,Toca Raul,,,,,,,,,,x,,,,,,,,,,,x,,
1,331,#ERROR!,,,,,,,,,,,x,,,,,,,,,,,,
1,332,Huahuahu,,,,,,,,,x,,,,,,,,,,,,,,
1,333,Xamaaaaaa,,,,,,,,,,x,,,,,,,,,,,,,x
1,334,ttttttttttsssssssyttttttttsssssss,,x,,,,,,,,,,,,,,,,,,,,,
1,335,Dora aventureira,,,,,,,x,,,,,,,,,,,,,,x,,
1,336,3333,,x,,,,,,,,,,,,,,,,,,,,,
1,337,para elias,,,,,,,x,,,,,,,,,,,,,,x,,
2,338,RU PAUL,,,,,,,x,,,,,,,,,,,,,,x,,
2,339,kkkkkkjjjj,,,,,,,,,x,,,,,,,,,,,,,,
2,340,xxxxxxxxxxxxxxxxxxxxxx,,x,,,,,,,,,,,,,,,,,,,,,
2,341,VALEU HASHIMOTO,,,,,,,x,,,,,,,,,,,,,,,,x
2,342,Zzzz zzz   zz z,,,,x,,,,,,,,,,,,,,,,,,,
2,343,pppppppppppppppppp,,x,,,,,,,,,,,,,,,,,,,,,
2,344,zuera never ends,,,,,,x,,,,,,,,,,,,,,,x,,
2,345,.,,,x,,,,,,,,,,,,,,,,,,,,
2,346,.,,,x,,,,,,,,,,,,,,,,,,,,
2,347,.,,,x,,,,,,,,,,,,,,,,,,,,
2,348,vai curintia,,,,,,,,,,x,,,,,,,,,,,,,x
2,349,#\#$@\#$..#?$.@...,x,,,,,,,,,,,,,,,,,,,,,,
2,350,fora cunha,,,,,,,,x,,,,,,,,,,,,,,,
2,351,MANDA NUDES,,,,,,,,,,x,,,,,,,,,,,x,,
2,352,TTT,,x,,,,,,,,,,,,,,,,,,,,,
2,353,////....$$$.$,,x,,,,,,,,,,,,,,,,,,,,,
2,354,Kdidjdidfggggh,x,,,,,,,,,,,,,,,,,,,,,,
2,355,1,,,x,,,,,,,,,,,,,,,,,,,,
2,356,Hahahaah,,,,,,,,,x,,,,,,,,,,,,,,
2,357,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
2,358,M,,,x,,,,,,,,,,,,,,,,,,,,
2,359,Y,,,x,,,,,,,,,,,,,,,,,,,,
2,360,m,,,x,,,,,,,,,,,,,,,,,,,,
2,361,y,,,x,,,,,,,,,,,,,,,,,,,,
2,362,fora cunha,,,,,,,,x,,,,,,,,,,,,,,,
2,363,1233343344,,x,,,,,,,,,,,,,,,,,,,,,
2,364,*,,,x,,,,,,,,,,,,,,,,,,,,
2,365,U,,,x,,,,,,,,,,,,,,,,,,,,
2,366,xxxxxxoooooooooppppp,,x,,,,,,,,,,,,,,,,,,,,,
2,367,bbbbbbbb,,x,,,,,,,,,,,,,,,,,,,,,
2,368,BIIRRRLLLL,x,,,,,,,,,,,,,,,,,,,,,,
2,369,/.../.../.../.../.../...,,x,,,,,,,,,,,,,,,,,,,,,
2,370,$\#$$%&%%-&--+(++()(((/)),x,,,,,,,,,,,,,,,,,,,,,,
2,371,bxbxbxbxbxbxbxbxbxbxbxbxbxbxbbx,,x,,,,,,,,,,,,,,,,,,,,,
2,372,A vida é um bebop,,,,,,,,,,x,,,,x,,,,,,,,,
2,373,QUE NÃO VAI DA,,,,,,x,,,,,,,,x,,,,,,,,,
2,374,hahahahahahahahahahahahahahahahaha,,,,,,,,,x,,,,,,,,,,,,,,
2,375,brb brb brb brb brb brb,,x,,,,,,,,,,,,,,,,,,,,,
2,376,Dilma presidenta,,,,,,,,x,,,,,,,,,,,,,,,
2,377,tem lanche após a palestra?,,,,,,,,,,x,,,,,x,,,,,,,,
2,378,"~``|••√ππ÷÷×¶∆\\\\{=°°^¥€¢£*\\\""':",x,,,,,,,,,,,,,,,,,,,,,,
2,379,Pa,,,,x,,,,,,,,,,,,,,,,,,,
2,380,Empolgant,,,,,,x,,,,,,,,,,,,,,,,,x
2,381,quero isso o diantodo,,,,,,x,,,,,,,,,,,,,,,,,x
2,382,Quero cafeee!!!,,,,,,,,,,x,,,,,,,x,,,,,,
2,383,89898989,,x,,,,,,,,,,,,,,,,,,,,,
2,384,o lanchinho é top,,,,,,,,,,x,,,,,,,,,,,,,x
2,385,O CAFÉ TA DA HIRA,,,,,,,,,,x,,,,,,,,,,,,,x
2,386,Muito bom o salgado,,,,,,,,,,x,,,,,,,,,,,,,x
2,387,to amando a abrapem,,,,,,,x,,,,,,,,,,,,,,,,x
2,388,/,,,x,,,,,,,,,,,,,,,,,,,,
2,389,?,,,x,,,,,,,,,,,,,,,,,,,,
