,,,random,patterns,single characteres,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/command,emoticon,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
2,80,Tenho fome,,,,,,,,,,x,,,,,,,x,,,,,,
2,81,^^/,,,,,,,,,,,,x,x,,,,,,,,,,
2,82,Ppp,,x,,,,,,,,,,,x,,,,,,,,,,
2,83,**,,x,,,,,,,,,,,x,,,,,,,,,,
2,84,Ah ah ah,,,,x,,,,,,,,,,,,,,,,,x,,x
2,85,Ding,,,,x,,,,,,,,,,,,,,,,,,x,
2,86,@$&*)@,x,,,,,,,,,,,,x,,,,,,,,,,
2,87,......,,x,,,,,,,,,,,x,,,,,,,,,,
2,88,||iqy3qetqw7q8;~´3,x,,,,,,,,,,,,x,,,,,,,,,,
2,89,Dong,,,,x,,,,,,,,,,,,,,,,,,x,
2,90,Huahuahu,,,,,,,,,x,,,,,,,,,,,,,,
2,91,@@@@@@,x,,,,,,,,,,,,x,,,,,,,,,,
2,92,Dhdhsh,,x,,,,,,,,,,,x,,,,,,,,,,
2,93,Hajhajahajahahsjsha,,,,,,,,,x,,,,,,,,,,,,,,
2,94,hsngry,x,,,,,,,,,,,,x,,,,,,,,,,
2,95,Bazinga,,,,,,,,,x,,,,,,,,,,,,,,
2,96,$$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
2,97,¥¥¥¥¥¥¥¥¥¥¥€€€€€€€€€€€,,x,,,,,,,,,,,x,,,,,,,,,,
2,98,;<[}] <{>{¦{>[,x,,,,,,,,,,,,x,,,,,,,,,,
2,99,@#&&,x,,,,,,,,,,,,x,,,,,,,,,,
2,100,Bazinga,,,,,,,,,,x,,,,,,,,,,,x,,
2,101,ffffffdscvh,x,,,,,,,,,,,,x,,,,,,,,,,
2,102,Vamos tomar umas,,,,,,,,,,x,,,,,,,x,,,,,,
2,103,12398]DALILA982137438134819}[´~,x,,,,,,,,,,,,x,,,,,,,,,,
2,104,¿¡¡¡>~€^[<;<{>] >[>[,x,,,,,,,,,,,,x,,,,,,,,,,
2,105,Bazinga,,,,,,,,,,x,,,,,,,,,,,x,,
2,106,lala,,,,x,,,,,,,,,,,,,,,,,,x,
2,107,8893 is prime,,,,,,,,,,x,,,x,,,,,,,,,,
2,108,"}^€'€§€§€^€§£'€~€§£\\\""'£§\\\\'£\\\""£",x,,,,,,,,,,,,x,,,,,,,,,,
2,109,!!!!!!!!!!!!!,,x,,,,,,,,,,,x,,,,,,,,,,
2,110,Xxxxxx,,x,,,,,,,,,,,x,,,,,,,,,,
2,111,lala here,,,,,,,,,,x,,,,,,,,x,,,,,
2,112,÷÷÷÷÷÷÷,,x,,,,,,,,,,,x,,,,,,,,,,
2,113,;523@\#$@7112]12,x,,,,,,,,,,,,x,,,,,,,,,,
2,114,Xxxxxzz xxxxx z,,x,,,,,,,,,,,x,,,,,,,,,,
2,115,aaaaaa,,x,,,,,,,,,,,x,,,,,,,,,,
2,116,bbbbbb,,x,,,,,,,,,,,x,,,,,,,,,,
2,117,ggggg,,x,,,,,,,,,,,x,,,,,,,,,,
2,118,42,x,,,,,,,,,,,,x,,,,,,,,,,
2,119,ccccc,,x,,,,,,,,,,,x,,,,,,,,,,
2,120,Zzzzz😂😂😂😂,,,,x,,,,,,,,,,,,,,,x,,,,
2,121,djavan,,,,,,,x,,,,,,,,,,,,,,,x,
2,122,42,x,,,,,,,,,,,,x,,,,,,,,,,
2,123,Tttttt,,x,,,,,,,,,,,x,,,,,,,,,,
2,124,😉😉😉😉😉,,,,,,,,,,,,x,,,,,,,,,,,x
2,125,Puts,,,,x,,,,,,,,,,,,,,,,,,x,
2,126,fffffs777777,x,,,,,,,,,,,,x,,,,,,,,,,
2,127,lulaaaaaa,,,,,,,,x,,,,,,x,,,,,,,,,
2,128,Kkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
2,129,Ivete,,,,,,,x,,,,,,,,,,,,,,,x,
2,130,Amo voces,,,,,,,,,,x,,,,,,,,,,x,,,x
2,131,:(,,,,,,,,,,,,x,,,,,,,x,,,,
2,132,,,x,,,,,,,,,,,x,,,,,,,,,,
2,133,÷>€©€©¥™{^÷,x,,,,,,,,,,,,x,,,,,,,,,,
3,134,gente,,,,,x,,,,,,,,,,,,,,,,,,x
3,135,Hhhhh,,x,,,,,,,,,,,x,,,,,,,,,,
3,136,>:)>:) >:) >:) >:),,,,,,,,,,,,x,,,,,,,,,,,x
3,137,E os terceiro invadindo a ladeira,,,,,,,,,,x,,,x,,,,,,,,,,
3,138,Jshahja,,,,,,,,,x,,,,,,,,,,,,,,
3,139,bacana,,,,,,x,,,,,,,,,,,,,,,,,x
3,140,😜👀🌷🍀a,,,,,,,,,,,,x,,,,,,,,,,,x
3,141,Hauaiaja,,,,,,,,,x,,,,,,,,,,,,,,
3,142,Olaaaa,,,,,x,,,,,,,,,,,,,,,,,,
3,143,wwwwwwww,,x,,,,,,,,,,,x,,,,,,,,,,
3,144,A meia do Rodrigo é muito bonita!,,,,,,,x,,,,,,,,,,,,,,,,x
3,145,2~3[12~3[12´31]2~3],x,,,,,,,,,,,,x,,,,,,,,,,
3,146,7:7:$)/7/$/,x,,,,,,,,,,,,x,,,,,,,,,,
3,147,Jjkajankakaka,,,,,,,,,x,,,,,,,,,,,,,,
3,148,Solo de guitarra,,,,,,,,,,x,,,,,,,,,,,,x,
3,149,Pira pira piro,,,,,,x,,,,,,,,,,,,,,,,,x
3,150,MC dj,,,,,,,x,,,,,,,,,,,,,,,,x
3,151,Kkjjjjjj,,,,,,,,,x,,,,,,,,,,,,,,
3,152,😇😇😇😇😇😇,,,,,,,,,,,,x,,,,,,,,,,,x
3,153,Sample de guitarra,,,,,,x,,,,,,,,,,,,,,,,x,
3,154,fora temer,,,,,,,,x,,,,,,x,,,,,,,,,
3,155,😊😊😊,,,,,,,,,,,,x,,,,,,,,,,,x
3,156,:),,,,,,,,,,,,x,,,,,,,,,,,x
3,157,SomHsjsjsja,x,,,,,,,,,,,,,,,,,,,,,x,
3,158,Soh gente doida aqui,,,,,,,,,,x,,,,,,,,,,,x,,
3,159,😂😁😀,,,,,,,,,,,,x,,,,,,,,,,,x
3,160,✌️✌️👍👍z,,,,,,,,,,,,x,,,,,,,,,,,x
3,161,##########\#@$@\#$@#%@$¨@###,,x,,,,,,,,,,,x,,,,,,,,,,
3,162,bbbbbb,,x,,,,,,,,,,,x,,,,,,,,,,
3,163,Jaspion,,,,,,,,,,x,,,,,,,,,,,x,,
3,164,))()))))((((()),,,,,,,,,,,,x,x,,,,,,,,,,
3,165,🐷🐈🐅🐮🐮🐴🦁🐴🐴🦁🐃🦁🐮🐆🦄,,,,,,,,,,,,x,,,,,,,,,,,x
3,166,192.168.0.101:8080,,,,,,x,,,,,,,,,,,,,,,,,
3,167,Cxxccxx,,x,,,,,,,,,,,x,,,,,,,,,,
3,168,55555555,,x,,,,,,,,,,,x,,,,,,,,,,
3,169,kkkkk,,,,,,,,,x,,,,,,,,,,,,,,
3,170,Solo interminável de bateria,,,,,,x,,,,,,,,,,,,,,,,x,
3,171,5)5)5)5=8=9),,,,,,,,,,,,x,x,,,,,,,,,,
3,172,"🍑🍎🍎🍑,🍐🍏🌽🌰🍆🍎🍍🍉🍊🍎🍌🍆🌰🍆🌶",,,,,,,,,,,,x,x,,,,,,,,,,
3,173,)5)5)8)8(8@8@5(%$=$=$%(%(,x,,,,,,,,,,,,x,,,,,,,,,,
3,174,"Bodo, pega aquilo ali no chão!",,,,,,,x,,,,,,,,,,,,,,,,x
3,175,fraco,,,,,,,,,,x,,,,,,,,,x,,,,
3,176,127.0.0.1,,,,,,x,,,,,,,x,,,,,,,,,,
3,177,Quem dera ser um peixe,,,,,,,,,,x,,,,,,,,,,,x,,
3,178,)(+(/@/(/@/(/@//@/@/@/@/74(45)(555>]>],x,,,,,,,,,,,,x,,,,,,,,,,
3,179,🌍🌏🌐🏖🗾🏖🏕🌋🏞🏟🏗🗾🏟🏗🏜🏗🌋🗻🏖,,,,,,,,,,,,x,x,,,,,,,,,,
3,180,Go home!,,,,,,,,,,x,,,,,,,x,,,,,,
3,181,Hdjshhahahahshja,,,,,,,,,x,,,,,,,,,,,,,,
3,182,dindindindindindindindindindindidnidnidnidnidnidndindind,,x,,,,,,,,,,,,,,,,,,,,x,
3,183,~(8(|),,,,,,,,,,,,x,x,,,,,,,,,,
3,184,Maluquice,,,,,,x,,,,,,,,,,,,,,,,,x
3,185,TOCA RAUL,,,,,,,,,,x,,,,,,,x,,,,,,
3,186,partiu,,,,,x,,,,,,,,,,,,,,,,,,x
3,187,Dig din,x,,,,,,,,,,,,,,,,,,,,,x,
3,188,D'OH,x,,,,,,,,,,,,x,,,,,,,,,,
3,189,Olha o Homer,,,,,,,,,x,,,,,,,,,,,,,,
3,190,Quieto!,,,,,,,,,,,x,,,,,,,,,,,x,
3,191,<(-_-)>,,,,,,,,,,,,x,x,,,,,,,,,,
3,192,🌏🌎🌍,,,,,,,,,,,,x,x,,,,,,,,,,
3,193,-------------------------------------------------------------------------,,x,,,,,,,,,,,x,,,,,,,,,,
3,194,Ding din ding din,,x,,,,,,,,,,,,,,,,,,,,x,
3,195,Pirapirapirou,x,,,,,,,,,,,,,,,,,,,,,x,x
3,196,toc toc. Who's there??,,,,,,,,,,x,,,,,x,,,,,,,,
3,197,Dj foi bacana,,,,,,,,,x,,,,,,,,,,,,,,
3,198,Roda roda vira solta mais não vem me passaram a mão na bunda nas eu não comi ninguém,,,,,,,,,,x,,,,,,,,,,,x,x,
3,199,🕧🕐🕜🕑🕝🕒🕞🕓🕟🕔🕠🕕🕡,,,,,,,,,,,,x,x,,,,,,,,,,
3,200,▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒,,x,,,,,,,,,,,x,,,,,,,,,,
3,201,heyyyyyy,,,,,x,,,,,,,,x,,,,,,,,,,
3,202,Piano!,,,,,,,,,,,x,,,,,,,,,,,x,
3,203,¶¶¶¶¶,,x,,,,,,,,,,,x,,,,,,,,,,
3,204,menores aqui,,,,,,,,,,x,,,,x,,,,,,,,,
3,205,🎈⚽🎏🎍✨🎏🎊🎏🎋🎏🎄🎏🎋,,,,,,,,,,,,x,x,,,,,,,,,,
3,206,!!!!!!!!!!!!!!!!!!!,,x,,,,,,,,,,,x,,,,,,,,,,
3,207,Moonwalker,,,,,,,,,,x,,,,,,,,,x,,,,
3,208,dog barks au au au,,,,x,,,,,,,,,,,,,,,,,x,,
3,209,Mezzo!,,,,,,,,,,,x,,,,,,,,,,,x,
3,210,Gostei da brincadeira,,,,,,x,,,,,,,,,,,,,,,,,x
3,211,yujuuuuu,,x,,,,,,,,,,,x,,,,,,,,,,
3,212,#ERROR!,,,,,,,,,,,,x,,,,,,,,,,,x
3,213,Kkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
3,214,Minha pistola e plastico,,,,,,,,,,x,,,,,,,,,,,x,x,
3,215,e9fa8dbadf84caa2a7f58e992ba84e8f,x,,,,,,,,,,,,x,,,,,,,,,,
3,216,A lua me traiu,,,,,,,,,,x,,,,,,,,,,,x,,
3,217,Dani Black também foi indicado,,,,,,,,,,x,,,,,,,,,,,x,,
3,218,muito legal,,,,,,x,,,,,,,,,,,,,,,,,x
3,219,De novo de novo de novo,,,,,,,,,,x,,,,,,,,,,,,,x
3,220,x1,x,,,,,,,,,,,,x,,,,,,,,,,
3,221,123,x,,,,,,,,,,,,x,,,,,,,,,,
3,222,Solo Chimbinha,,,,,,,,,,x,,,,,,,,,,,,x,
3,223,ㅁㅎㅌㅎㅇㅎㄴㅎ어어온,x,,,,,,,,,,,,x,,,,,,,,,,
3,224,CS é o melhor FPS,,,,,,,,,,x,,,,x,,,,,,,,,
3,225,ㅎㅌㅎㅇㅎㄴㅎ어어온ㅎㅌㅎㅇㅎㄴㅎ어어온,x,,,,,,,,,,,,x,,,,,,,,,,
3,226,ㅖㅐㅗㅅㄱㅈㅃㄴㅇ하ㅐㅣ퉅ㅍㄴ렁,x,,,,,,,,,,,,x,,,,,,,,,,
3,227,Head shot,x,,,,,,,,,,,,,,,,,,x,,,,
3,228,Um rooooobocop gay,,,,,,,,,,x,,,,,,,,,,,x,,
3,229,calor,,,,,,,,,,x,,,,,,,,,x,,,,
3,230,Beijinho no ombro,,,,,,,,,,x,,,,,,,,,,,x,,
3,231,Aí mano,,,,,x,,,,,,,,,,,,,,,,,,x
3,232,Viva Bolsonaro,,,,,,,,x,,,,,,x,,,,,,,,,
3,233,((((00000,,x,,,,,,,,,,,x,,,,,,,,,,
3,234,wow,,,,,,x,,,,,,,,,,,,,,,,,x
3,235,Bolsomito,,,,,,,,x,,,,,,x,,,,,,,,,
3,236,Crossfire FTW,,,,,,,,,,x,,,,x,,,,,,,,,
3,237,quem eh essa lala aih?,,,,,,,x,,,,,,,,,,,,,,,,x
1,238,Haaaaa eu sei eu sei,,,,,,,,,x,,,,,,,,,,,,,,
1,239,094209384093274809128409128,x,,,,,,,,,,,,x,,,,,,,,,,
1,240,Vrummm,,,,x,,,,,,,,,,,,,,,,,,x,
1,241,Bosonazi,,,,,,,,x,,,,,,x,,,,,,,,,
1,242,thinkie winkie,,,,x,,,,,,,,,,,,,,,,,x,,
1,243,cuba!!!!,,,,,,,,x,,,,,,x,,,,,,,x,,
1,244,dipsy,,,,,,,,,,x,,,,,,,,,,,x,,
1,245,📣🎷🎸🎹🎺🎻🎧🎤🎶📱📲☎📞📠🔋💾💽💻🔌🎬📷,,,,,,,,,,,,x,x,,,,,,,,,,
1,246,Solta o som dj,,,,,,,x,,,,,,,,,,x,,,,,,
2,247,वुदजदुविअकधेउए,x,,,,,,,,,,,,x,,,,,,,,,,
2,248,solta o dj som,,,,,,,x,,,,,,,,,,x,,,,,,
2,249,Solta o sample de guitarra!,,,,,,x,,,,,,,,,,,x,,,,,,
2,250,Dagsgs,x,,,,,,,,,,,,x,,,,,,,,,,
2,251,Manoooooo,,,,,x,,,,,,,,,,,,,,,,,,x
2,252,no please,,,,,,,,,,x,,,,,,,,,x,,,,
2,253,Som!,,,,,,,,,,,x,,,,,,,,,,,x,
2,254,dah pra entender muito mais essa musica do que a dos cara de antes,,,,,,x,,,,,,,,,,,,,,,,,x
2,255,⬇⬅⬆➡⬇⬅⬆➡,,,,,,,,,,,,x,x,,,,,,,,,,
2,256,Larguei as dorgas,,,,,,,,,,x,,,,,,,,x,,,,,
2,257,nooooooo,,,,,,,,,,x,,,,,,,,,x,,,,
2,258,11222,,x,,,,,,,,,,,x,,,,,,,,,,
2,259,9 de ouros,x,,,,,,,,,,,,,,,,,,,,x,,
2,260,Gsjsjjs,x,,,,,,,,,,,,x,,,,,,,,,,
2,261,Chupa q è de uva,,,,,,,,,,x,,,,,,,,,,,x,,
2,262,"Lala não existe, é virtual 😁...",,,,,,,x,,,,,,,,,x,,,,,,,
2,263,Tuts tuts tuts,,,,x,,,,,,,,,,,,,,,,,,x,
2,264,🔙🔚🔛🔜🔝🔙🔚🔛🔜🔝,,,,,,,,,,,,x,x,,,,,,,,,,
2,265,"🔙🔚🔛🔜🔝🔙🔚🔛🔜🔝  Tuts tuts tuts  Lala não existe, é virtual 😁...  Chupa q è de uva  Gsjsjjs  9 de ouros  11222  nooooooo  Larguei as d",,,,,,,,,,x,,,x,,,,,,,,,,
2,266,⚛✡🔯☮☪☦✝☯☸,,,,,,,,,,,,x,x,,,,,,,,,,
2,267,Truco marreco,,,,,,,,,,x,,,,,,,,,,,x,,
2,268,kkkk,,,,,,,,,x,,,,,,,,,,,,,,
2,269,☯☯☯☯☯☯☯☯☯☯,,,,,,,,,,,,x,x,,,,,,,,,,
2,270,COEXIST,,,,,,,,,,x,,,,x,,,,,,,,,
2,271,"☯☯☯☯☯☯☯☯☯☯  kkkk  Truco marreco  ⚛✡🔯☮☪☦✝☯☸  🔙🔚🔛🔜🔝🔙🔚🔛🔜🔝 Tuts tuts tuts Lala não existe, é virtual 😁... Chupa q è de uva Gsjsjjs",,,,,,,,,x,,,,,,,,,,,,,,
2,272,666 iluminati,,,,,,,,,,x,,,,x,,,,,,,,,
2,273,Mensagem,,,,,,,,,,x,,,,x,,,,,,,,,
2,274,$$£€¥,x,,,,,,,,,,,,x,,,,,,,,,,
2,275,Bridge pareado?,,,,,,,,,,x,,,,,x,,,,,,,,
2,276,🇦🇩🇦🇪🇦🇫🇦🇬🇦🇮🇦🇱🇦🇲🇦🇽🇦🇼🇦🇺🇦🇹🇦🇸🇦🇷🇦🇴🇦🇿🇧🇦🇧🇧🇧🇩🇧🇪🇧🇫,,,,,,,,,,,,x,x,,,,,,,,,,
0,277,1111,,x,,,,,,,,,,,x,,,,,,,,,,
0,278,🎐🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🎱🏉🏉🏉🏉🏉🏉🏉🏉🏉🏉⚽⚽⚽⚽⚽⚽⚽⚽🏌🏌🏌🏌🏌🏌🏌🏌🎣🎣🎣🎣,,,,,,,,,,,,x,x,,,,,,,,,,
0,279,Ah se eu te pego . Ah ah se eu te pego !,,,,,,,,,,x,,,,,,,,,,x,,,
0,280,melhor som,,,,,,x,,,,,,,,,,,,,,,,,x
0,281,@#=@=(+(+@///@5)6)5=55)6),x,,,,,,,,,,,,x,,,,,,,,,,
0,282,192.168.0.1,,,,,,x,,,,,,,,,,,,,,,,,
0,283,Fora Temer,,,,,,,,x,,,,,,x,,,,,,,,,
0,284,admin/admin,,,,,,,,,,x,,,,x,,,,,,,,,
0,285,141515251,x,,,,,,,,,,,,x,,,,,,,,,,
0,286,&$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,287,agora toca ao contrário,,,,,,x,,,,,,,,,,,,,,,x,,
0,288,fora,,,,,,,,x,,,,,,x,,,,,,,,,
0,289,"gente, isso é arte, vamos ser mais sérios",,,,,,x,,,,,,,,,,,x,,,,,,
0,290,Kakakja,,,,,,,,,x,,,,,,,,,,,,,,
0,291,Lllll,,x,,,,,,,,,,,x,,,,,,,,,,
0,292,kkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,293,F1,x,,,,,,,,,,,,x,,,,,,,,,,
0,294,help!,,,,,,,,,,x,,,,,,,x,,,,,,
0,295,🦃,,,,,,,,,,,,x,x,,,,,,,,,,
0,296,xuxa é o exu,,,,,,,,,,x,,,,,,,,,,,x,,
0,297,Hahahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,298,bateria ja era,,,,,,x,,,,,,,,,,,,,,,,,x
0,299,a de amor,,,,,,,,,,x,,,,x,,,,,,x,,,
0,300,chuchu é fruta,,,,,,,,,x,,,,,,,,,,,,,,
0,301,TTTtTt,,x,,,,,,,,,,,x,,,,,,,,,,
0,302,pvt por favor,,,,,,,,,,x,,,,,,,x,,,,,,
0,303,Bota a mão no joelho dá uma abaixadinha,,,,,,,,,,x,,,,,,,,,,,,x,
0,304,Bateu a onda forte,,,,,,,,,,x,,,,,,,,,,,,,x
0,305,2309490123849237@#R&!\#$¨(!#)¨%*&!)\#$_%¨!,x,,,,,,,,,,,,x,,,,,,,,,,
0,306,Kkkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,307,Mais mais mais,,,,,,x,,,,,,,,,,,,,,,,,x
0,308,Olar,,,,,x,,,,,,,,,,,,,,,,x,,
0,309,Isso aqui é coisa do capiroto,,,,,,x,,,,,,,,,,,,,,,x,,
0,310,alguém me passa op,,,,,,,,,,x,,,,,,,x,,,,,,
0,311,qual o critério mesmo?,,,,,,x,,,,,,,,,x,,,,,,,,
0,312,chuchu é o quarto estado da água,,,,,,,,,x,,,,,,,,,,,,,,
0,313,@&$/&-,x,,,,,,,,,,,,x,,,,,,,,,,
0,314,ai sim,,,,,,x,,,,,,,,,,,,,,,,,x
0,315,Pqp,,,,,,,,,,x,,,,,,,,,x,,,,
0,316,Soh nao abaixa se for o bodo,,,,,,,x,,,,,,,,,x,,,,,,,
0,317,",:,:,:,:,:",,x,,,,,,,,,,,x,,,,,,,,,,
0,318,(-_-)))))),,,,,,,,,,,,x,x,,,,,,,,,,
0,319,o primeiro estado da água é o AC,,,,,,,,,,x,,,,,,,,,,,x,,
0,320,"Olar amigo, troca por uma bala de coco e uma rapadura?",,,,,,,,,x,,,,,,,,,,,,,,
3,321,Só que não,,,,,,,,,,,,,,x,,,,,,,,,
3,322,boloooo,x,,,,,,,,,,,,,,,,,,,,x,,
3,323,raposa do cativar,,,,,,,,,,x,,,,,,,,,,,x,,
3,324,Kkkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
3,325,Só mais um pouquinho de uuuuuuuuu...,,,,,,,,,,x,,,,,,,x,,,,,,
3,326,Quer tc?,,,,,x,,,,,,,,,,,,,,,,,,
3,327,xadrez aleatorio,,,,,,,,,,x,,,,,,,,,x,,,,
3,328,Eu poderia estar matando,,,,,,,,,,x,,,,,,,,,x,,x,,
3,329,Iiiiiiaiiaia,x,,,,,,,,,,,,x,,,,,,,,,,
3,330,::M>M<:^L{`L}:,x,,,,,,,,,,,,x,,,,,,,,,,
3,331,Whisky ou agua de cocopra mim tanto faz,,,,,,,,,,x,,,,,,,,,,,x,,
3,332,Eu poderia estar roubando,,,,,,,,,,x,,,,,,,,,x,,x,,
3,333,e4,x,,,,,,,,,,,,x,,,,,,,,,,
3,334,}^<^>M:^ÇL:}OL:P,x,,,,,,,,,,,,x,,,,,,,,,,
3,335,TOTORO,,,,,,,,,,x,,,,,,,,,,,x,,
3,336,Tchan!,,,,x,,,,,,,,,,,,,,,,,,x,
3,337,👏👍muito bom,,,,,,x,,,,,,,,,,,,,,,,,x
3,338,carnivalee,,,,,,,,,,x,,,,,,,,,,,x,,
3,339,Poderia estar matando roubando ou me prostituindo,,,,,,,,,,x,,,,,,,,,x,,x,,
3,340,vanos estudar,,,,,,,,,,x,,,,,,,,,,,x,,
3,341,quem que grava sample pra essa peça? os cara da guitarra?,,,,,,x,,,,,,,,,x,,,,,,,,
