sample pack,message order,message,random,patterns,single characteres,onomatopaic,phatic,metalinguistics,someone,political,comic,statements,html/command,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,67,Fora,,,,,,,,x,,,,,,,,,,,,,,,
0,68,Silencio,,,,,,x,,,,,,,,,,,x,,,,,,
0,69,Hahahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,70,Kkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,71,Bianca tiro porrada e bomba,,,,,,,x,,,,,,,,,x,,,,,,,
0,72,Foooora temer,,,,,,,,x,,,,,,x,,,,,,,,,
0,73,.....,,x,,,,,,,,,,,x,,,,,,,,,,
0,74,Aeee3ee3,,,,,x,,,,,,,,,,,,,,,,x,,
0,75,Hahahah kkkk lololo,,,,,,,,,x,,,,,,,,,,,,x,,
0,76,Vvvvvv,,x,,,,,,,,,,,x,,,,,,,,,,
0,77,Xxxxxxsxss,,x,,,,,,,,,,,x,,,,,,,,,,
0,78,Tttttttt,,x,,,,,,,,,,,x,,,,,,,,,,
0,79,",#",x,,,,,,,,,,,,x,,,,,,,,,,
0,80,ABRE O PA,,,,,,x,,,,,,,,,,,x,,,,,,
0,81,Ttstststststs,,,,x,,,,,,,,,x,,,,,,,,,,
0,82,Hhhhhhhhhh,,x,,,,,,,,,,,x,,,,,,,,,,
0,83,Oi bianca,,,,,x,,x,,,,,,,,,,,,,,,,x
0,84,Ssss,,,,x,,,,,,,,,x,,,,,,,,,,
0,85,Carmim old school,,,,,,,x,,,,,,,,,,,,,,,,x
0,86,Iiiii8iiiiii,,x,,,,,,,,,,,x,,,,,,,,,,
0,87,Experimental,,,,,,x,,,,,,,,,,,,,,,,x,
0,88,Acordaaaaaa!!!,,,,,x,,,,,,,,,,,,x,,,,,,
0,89,Heyyyy liga ai,,,,,x,,,,,,,,,,,,x,,,,,,
0,90,Bom demais,,,,,,x,,,,,,,,,,,,,,,,,x
0,91,Boa boa,,,,,,x,,,,,,,,,,,,,,,,,x
0,92,Hhhhhhh,,x,,,,,,,,,,,x,,,,,,,,,,
0,93,Qqqqqqqqq,,,,x,,,,,,,,,x,,,,,,,,,,
0,94,$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,95,$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,96,"Com consciência na mente, a mente não mente!",,,,,,,,,,x,,,,x,,,,,,,,,
0,97,$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,98,$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,99,Lolla,,,,,,,x,,,,,,,,,,,x,,,,,
0,100,Abre o PA,,,,,,x,,,,,,,,,,,x,,,,,,
0,101,Osmanoasminainstrumentalfuullll,,,,,,x,,,,,,,,,,,,,,,,x,
0,102,Hahahahah,,,,,,,,,x,,,,,,,,,,,,x,,
0,103,Chapenelli,,,,,,x,,,,,,,,,,,,,,,,,x
0,104,Aeeeeee abriuuu,,,,,,x,,,,,,,,,,,,,,,,,x
0,105,NO LOGIC,,,,,,x,,,,,,,,,,,,,,,,,x
0,106,Aeeeeeee,,,,,x,,,,,,,,,,,,,,,,,,x
0,107,Acordaaaaa!!!!,,,,,x,,,,,,,,,,,,x,,,,,,
0,108,Papapapapapa,,,,x,,,,,,,,,,,,,,,,,,x,
0,109,Vitao chegou,,,,,,,x,,,,,,,,,x,,,,,,,x
0,110,quaquaquaquaqua,,,,,,,,,x,,,,,,,,,,,,x,,
0,111,Kissil é noisssss,,,,,,,x,,,,,,,,,,,,,,,,x
0,112,Tchanan,,,,x,,,,,,,,,,,,,,,,,,x,
0,113,HHHHHHHHH,,x,,,,,,,,,,,x,,,,,,,,,,
0,114,O que você faz da sua vida?,,,,,x,,,,,,,,,,,,,,,,,,
0,115,$$$$$$$$&&&&&&&&,,x,,,,,,,,,,,x,,,,,,,,,,
0,116,Acordaaaaaaaa!!!!!,,,,,x,,,,,,,,,,,,,,,,,,
0,117,Aumenta aumenta,,,,,,x,,,,,,,,,,,x,,,,,,
0,118,WWWWWWWW,,x,,,,,,,,,,,x,,,,,,,,,,
0,119,fuego en la buemba,,,,,,,,,,x,,,,,,,,,,,x,,
0,120,:: MK,x,,,,,,,,,,,,x,,,,,,,,,,
0,121,Acordaaaaaaaaa!!!,,,,,x,,,,,,,,,,,,,,,,,,
0,122,Deudowngeralnagalera,,,,,,,,,,x,,,,,,,,,,,x,,
0,123,Hahahahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,124,RRRRRRR,,x,,,,,,,,,,,x,,,,,,,,,,
0,125,Solta o Bass MAESTRO,,,,,,x,,,,,,,,,,,x,,,,,,
0,126,llkkkdhxhajcks,,,,,,,,,x,,,,,,,,,,,,,,
0,127,Solta o kick,,,,,,x,,,,,,,,,,,x,,,,,,
0,128,Aeeeee,,,,,x,,,,,,,,,,,,,,,,,,
0,129,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,130,Stefhany,,,,,,,x,,,,,,,,,,,x,,,,,
0,131,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,132,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,133,O que você faz da sua vida?,,,,,x,,,,,,,,,,,,,,,,,,
0,134,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,135,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,136,Tum,,,,x,,,,,,,,,,,,,,,,,,,
0,137,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,138,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,139,Pa,,,,x,,,,,,,,,,,,,,,,,,,
0,140,Aeeewwwww,,,,,x,,,,,,,,,,,,,,,,,,
0,141,Lolla Zen,,,,,,,x,,,,,,,,,,,,,,,,x
0,142,Tu,,,,x,,,,,,,,,,,,,,,,,,,
0,143,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,144,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,145,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,146,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,147,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,148,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,149,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,150,Jsjjdjxjd,x,,,,,,,,,,,,x,,,,,,,,,,
0,151,zzzzzzzzzzzzzzzz,,,,x,,,,,,,,,,,,,,,,,,,
0,152,Kkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,153,Solta o BAss MAEsTro,,,,,,x,,,,,,,,,,,x,,,,,,
0,154,Lolla Zen,,,,,,,x,,,,,,,,,,,,,,,,x
0,155,FFFFFFFG,,x,,,,,,,,,,,x,,,,,,,,,,
0,156,Aeeeee,,,,,x,,,,,,,,,,,,,,,,,,
0,157,Vaaaaaai,,,,,x,,,,,,,,,,,,,,,,,,
0,158,Acordaaaaaaa!!!!,,,,,x,,,,,,,,,,,,,,,,,,
0,159,Opaaaaaaaa,,,,,x,,,,,,,,,,,,,,,,,,
0,160,$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,161,Boraaaaaa,,,,,x,,,,,,,,,,,,,,,,,,
0,162,PLACER,,,,,,x,,,,,,,,,,,,,,,,,x
0,163,@@@@@,,x,,,,,,,,,,,x,,,,,,,,,,
0,164,Llollazul,,,,,,,x,,,,,,,,,,,,,,,,x
0,165,bodeeee,,,,,,x,,,,,,,,,,,,,x,,,,
0,166,€#€€#€#€#€#€#€×€×,,x,,,,,,,,,,,x,,,,,,,,,,
0,167,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,168,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,169,Sssssssss,,,,x,,,,,,,,,,,,,,,,,,,
0,170,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,171,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,172,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,173,#,,,x,,,,,,,,,,x,,,,,,,,,,
0,174,#,,,x,,,,,,,,,,x,,,,,,,,,,
0,175,"Com consciência na mente, a mente não mente!!!!",,,,,,,,,,x,,,,x,,,,,,,,,
0,176,#,,,x,,,,,,,,,,x,,,,,,,,,,
0,177,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,178,ei,,,,,x,,,,,,,,,,,,,,,,,,
0,179,Tttttttttt,,,,x,,,,,,,,,,,,,,,,,,,
0,180,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,181,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,182,som,,,,,x,,,,,,,,,,,,,,,,,,
0,183,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,184,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,185,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,186,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,187,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,188,Vitaooooooooo te amamosss,,,,,,,x,,,,,,,,,,,,,,,,x
0,189,teste,,,,,x,,,,,,,,,,,,,,,,,,
0,190,Fora temer!!!!!,,,,,,,,x,,,,,,,,,,,,,,,
0,191,Ssssss,,,,x,,,,,,,,,,,,,,,,,,,
0,192,TTTTTTTT,,x,,,,,,,,,,,x,,,,,,,,,,
0,193,‰%%%%%%,,x,,,,,,,,,,,x,,,,,,,,,,
0,194,&$#&$&#&$&#&$&#&$#,,x,,,,,,,,,,,x,,,,,,,,,,
0,195,som,,,,,x,,,,,,,,,,,,,,,,,,
0,196,Zxxxsss,,x,,,,,,,,,,,x,,,,,,,,,,
0,197,boooo,,,,x,,,,,,,,,,,,,,,,,,,
0,198,Hah,,,,,x,,,,,,,,,,,,,,,,,,
0,199,Sssssss,,,,x,,,,,,,,,,,,,,,,,,,
0,200,TTTTTTTTTTTTTTTT,,x,,,,,,,,,,,x,,,,,,,,,,
0,201,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,202,Xxxxsxx,,x,,,,,,,,,,,x,,,,,,,,,,
0,203,Fora Temer,,,,,,,,x,,,,,,,,,,,,,,,
0,204,Sssssss,,,,x,,,,,,,,,,,,,,,,,,,
0,205,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,206,Vitaoooo te amamosss demais,,,,,,,x,,,,,,,,,,,,,,,,x
0,207,@@@@@@,,x,,,,,,,,,,,x,,,,,,,,,,
0,208,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,209,Novinha sinistra,,,,,,,x,,,,,,,,,,,,,,,,x
0,210,🍖,,,,,,,,,,,,x,,,,,,,,,,,
0,211,........,,x,,,,,,,,,,,x,,,,,,,,,,
0,212,Kissil fodao,,,,,,,x,,,,,,,,,,,,,,,,x
0,213,1234567890,x,,,,,,,,,,,,x,,,,,,,,,,
0,214,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,215,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,216,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,217,.,,,x,,,,,,,,,,x,,,,,,,,,,
0,218,Victorkisito,,,,,,,x,,,,,,,,,x,,,,,,,
0,219,fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,220,"Com consciência na mente, a mente nã . Mente!!!",,,,,,,,,,x,,,,x,,,,,,,,,
0,221,Hahahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,222,Fábio cadê você?,,,,,x,,x,,,,,,,,x,,,,,,,,
0,223,💩,,,,,,,,,,,,x,,,,,,,,,,,
0,224,Ppapapapapapapapa,,,,x,,,,,,,,,,,,,,,,,,,
0,225,Vitor esquesito Kissil,,,,,,,x,,,,,,,,,x,,,,,,,
0,226,Fora Temer!!,,,,,,,,x,,,,,,,,,,,,,,,
0,227,Yoalppppp,x,,,,,,,,,,,,x,,,,,,,,,,
0,228,$$$$$$$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,229,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,230,Ffffffffffffff,,,,x,,,,,,,,,,,,,,,,,,,
0,231,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,232,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,233,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,234,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,235,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,236,Ff,,x,,,,,,,,,,,x,,,,,,,,,,
0,237,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,238,F,,,x,,,,,,,,,,x,,,,,,,,,,
0,239,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,240,$÷,x,,,,,,,,,,,,x,,,,,,,,,,
0,241,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,242,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,243,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,244,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,245,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,246,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,247,f,,,x,,,,,,,,,,x,,,,,,,,,,
0,248,F,,,x,,,,,,,,,,x,,,,,,,,,,
0,249,F,,,x,,,,,,,,,,x,,,,,,,,,,
0,250,÷÷,,x,,,,,,,,,,,x,,,,,,,,,,
0,251,F,,,x,,,,,,,,,,x,,,,,,,,,,
0,252,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,253,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,254,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,255,Fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,256,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,257,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,258,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,259,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,260,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,261,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,262,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,263,#,,,x,,,,,,,,,,x,,,,,,,,,,
0,264,×,,,x,,,,,,,,,,x,,,,,,,,,,
0,265,#*×,x,,,,,,,,,,,,x,,,,,,,,,,
0,266,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,267,/,,,x,,,,,,,,,,x,,,,,,,,,,
0,268,Carmen Miranda,,,,,,,x,,,,,,,,,,,,,,,x,
0,269,,,,,,,,,,,,,x,,,,,,,,,,,
0,270,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,271,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,272,÷,,,x,,,,,,,,,,x,,,,,,,,,,
0,273,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,274,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,275,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,276,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,277,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,278,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,279,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,280,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,281,Fora temer!!,,,,,,,,x,,,,,,,,,,,,,,,
0,282,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,283,Besteira em público vai ser preso em,,,,,,,,x,,,,,,,,,,,,,,,
0,284,@,,,x,,,,,,,,,,x,,,,,,,,,,
0,285,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,286,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,287,Alócrio,,,,,,,x,,,,,,,,,x,,,,,,,
0,288,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,289,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,290,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,291,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,292,Quero meu diploma,,,,,,,,,,x,,,,,,,x,,,,,,
0,293,X,,,x,,,,,,,,,,x,,,,,,,,,,
0,294,x,,,x,,,,,,,,,,x,,,,,,,,,,
0,295,x,,,x,,,,,,,,,,x,,,,,,,,,,
0,296,x,,,x,,,,,,,,,,x,,,,,,,,,,
0,297,Kkiuop,x,,,,,,,,,,,,x,,,,,,,,,,
0,298,x,,,x,,,,,,,,,,x,,,,,,,,,,
0,299,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,300,Z,,,x,,,,,,,,,,x,,,,,,,,,,
0,301,z,,,x,,,,,,,,,,x,,,,,,,,,,
0,302,z,,,x,,,,,,,,,,x,,,,,,,,,,
0,303,Batataesparramansohein,,,,,,,x,,,,,,,,,x,,,,,,,
0,304,Lolla Zen!,,,,,,,x,,,,,,,,,,,,,,,,x
0,305,z,,,x,,,,,,,,,,x,,,,,,,,,,
0,306,Zz,,,,x,,,,,,,,,,,,,,,,,,,
0,307,Z,,,x,,,,,,,,,,x,,,,,,,,,,
0,308,z,,,x,,,,,,,,,,x,,,,,,,,,,
0,309,Zsss,,x,,,,,,,,,,,x,,,,,,,,,,
0,310,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,311,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,312,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,313,Ss,,x,,,,,,,,,,,x,,,,,,,,,,
0,314,,,,,,,,,,,,,x,,,,,,,,,,,
0,315,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,316,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,317,Tt,,,,,,,,,,,,,,,,,,,,,,,
0,318,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,319,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,320,Acordaaaaa,,,,,x,,,,,,,,,,,,,,,,,,
0,321,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,322,!@\#$/^&*(),x,,,,,,,,,,,,x,,,,,,,,,,
0,323,sz,x,,,,,,,,,,,,x,,,,,,,,,,
0,324,TTTTTT,,x,,,,,,,,,,,x,,,,,,,,,,
0,325,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,326,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,327,P,,,x,,,,,,,,,,x,,,,,,,,,,
0,328,poucas coisas dão mais cara de doido que uma gopro,,,,,,,,,,x,,,,,,x,,,,,,,
0,329,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,330,P,,,x,,,,,,,,,,x,,,,,,,,,,
0,331,p,,,x,,,,,,,,,,x,,,,,,,,,,
0,332,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,333,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,334,P,,,x,,,,,,,,,,x,,,,,,,,,,
0,335,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,336,Tá muito rápido. Não dá para ler.,,,,,,x,,,,,,,,,,,,,x,,,,
0,337,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,338,pspp,,x,,,,,,,,,,,x,,,,,,,,,,
0,339,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,340,Vitao cadê o cache dos alunos,,,,,,,x,,,,,,,,,,x,,,,,,
0,341,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,342,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,343,Ps,x,,,,,,,,,,,,x,,,,,,,,,,
0,344,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,345,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,346,Amo o Sol :),,,,,,,,,,x,,,,,,,,,,x,,,
0,347,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,348,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,349,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,350,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,351,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,352,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,353,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,354,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,355,A,,,x,,,,,,,,,,x,,,,,,,,,,
0,356,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,357,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,358,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,359,Yyyyyyy,,x,,,,,,,,,,,x,,,,,,,,,,
0,360,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,361,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,362,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,363,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,364,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,365,H,,,x,,,,,,,,,,x,,,,,,,,,,
0,366,Falaaa,,,,,x,,,,,,,,,,,,,,,,,,
0,367,Rre,x,,,,,,,,,,,,x,,,,,,,,,,
0,368,H,,,x,,,,,,,,,,x,,,,,,,,,,
0,369,K,,,x,,,,,,,,,,x,,,,,,,,,,
0,370,MM N,,x,,,,,,,,,,,x,,,,,,,,,,
0,371,Lo,x,,,,,,,,,,,,x,,,,,,,,,,
0,372,Espartana batata,,,,,,,,,,x,,,,,,,,,,,x,,
0,373,N,,,x,,,,,,,,,,x,,,,,,,,,,
0,374,Corre,,,,,,x,,,,,,,,,,,,,x,,,,
0,375,A,,,x,,,,,,,,,,x,,,,,,,,,,
0,376,Sol!!!,,,,,,,,,,x,,,,,,,,,,,,,x
0,377,Q,x,,,,,,,,,,,,x,,,,,,,,,,
0,378,W,,,x,,,,,,,,,,x,,,,,,,,,,
0,379,ame,,,,,,,,,,x,,,,,,,,,,x,,,
0,380,E,,,x,,,,,,,,,,x,,,,,,,,,,
0,381,Kooo,,,,,,x,,,,,,,,,,,,,,,x,,
0,382,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,383,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,384,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,385,R,,,x,,,,,,,,,,x,,,,,,,,,,
0,386,Sem spam,,,,,,x,,,,,,,,,,,,,,,x,,
0,387,T,,,x,,,,,,,,,,x,,,,,,,,,,
0,388,J,,,x,,,,,,,,,,x,,,,,,,,,,
0,389,K,,,x,,,,,,,,,,x,,,,,,,,,,
0,390,O,,,x,,,,,,,,,,x,,,,,,,,,,
0,391,o,,,x,,,,,,,,,,x,,,,,,,,,,
0,392,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,393,Ooo,,,,x,,,,,,,,,,,,,,,,,,,
0,394,0!,x,,,,,,,,,,,,x,,,,,,,,,,
0,395,s,,,x,,,,,,,,,,x,,,,,,,,,,
0,396,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,397,w,,,x,,,,,,,,,,x,,,,,,,,,,
0,398,w,,,x,,,,,,,,,,x,,,,,,,,,,
0,399,S,,,x,,,,,,,,,,x,,,,,,,,,,
0,400,Ola galera,,,,,x,,,,,,,,,,,,,,,,,,
0,401,C,,,x,,,,,,,,,,x,,,,,,,,,,
