,,messages,single characteres,random ,patterns,onomatopaic,phatic,metalinguistic,someone,political,comic,statements,emoticons,html/command,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,57,Bucetas empoderadas,,,,,,,,x,,,,,,x,,,,,,,,,
0,58,Tools and tools to help you find the best deal for you and you can,,,,,,,,,,x,,,,x,,,,,,,,,
0,59,/////,,,x,,,,,,,,,,x,,,,,,,,,,
0,60,bombeta,,,,,,,,,,x,,,x,,,,,,,,,,
0,61,Ftrewjfikov,,x,,,,,,,,,,,x,,,,,,,,,,
0,62,777))))+++---,,,x,,,,,,,,,,x,,,,,,,,,,
0,63,Laxa embaixo,,x,,,,,,,,,,,x,,,,,,,,,,
0,64,Fuiiii fiuuuu,,,,x,,,,,,,,,,,,,,,,,,,x
0,65,@,x,,,,,,,,,,,,x,,,,,,,,,,
0,66,Kkkkkkkkkkkkkkkkkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,67,;;;;//;/;/;/,,,x,,,,,,,,,,x,,,,,,,,,,
0,68,defh,,x,,,,,,,,,,,x,,,,,,,,,,
0,69,Inch if it kct or not at all as,,x,,,,,,,,,,,x,,,,,,,,,,
0,70,ryjbsdh,,x,,,,,,,,,,,x,,,,,,,,,,
0,71,Tttttttt,,,x,,,,,,,,,,x,,,,,,,,,,
0,72,blas,,x,,,,,,,,,,,x,,,,,,,,,,
0,73,Ktktkrkrkrkrkr,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,74,Tô Bê famosos is só nisso,,x,,,,,,,,,,,x,,,,,,,,,,
0,75,9z fora,,,,,,,,,,x,,,,x,,,,,,,,,
0,76,Gŕrrrrrrrrrrrrrrrr,,,,x,,,,,,,,,,,,,,,x,,,,
0,77,K by i mtv D hvubnjct,,x,,,,,,,,,,,x,,,,,,,,,,
0,78,Em terra de olho 1/2 palavra basta,,,,,,,,,,x,,,,x,,,,,,,,,
0,79,Toma banho meu,,,,,,x,,,,,,,,,,,,,x,,,,
0,80,Vou tentar YouTube que é que eu y,,,,,,,,,,x,,,,,,,,x,,,,,
0,81,Eu,,,,,x,,,,,x,,,,,,,,x,,,,,
0,82,Jjnebdjbrhdh,,x,,,,,,,,,,,x,,,,,,,,,,
0,83,Eu,,,,,x,,,,,x,,,,,,,,x,,,,,
0,84,Eu,,,,,x,,,,,x,,,,,,,,x,,,,,
0,85,doh,,,,x,,,,,,,,,,,,,,,,,,x,
0,86,Nois,,,,,x,,,,,,,,,,,,,,,,,,x
0,87,Tudo o que kkkkk mais que hoje vou tentar Xuxa xingar há mais ninguém,,,,,,,,,,x,,,,,,,,,,,x,,
0,88,Eitaaaa,,,,,x,,,,,,,,,,,,,,,,,,x
0,89,outch,,,,x,,,,,,,,,,,,,,,x,,,,
0,90,Vizxxx,,,,x,,,,,,,,,,,,,,,,,,,x
0,91,Xuxa Xan,,,,,,,x,,,,,,,x,,,,,,,,,
0,92,boing,,,,x,,,,,,,,,,,,,,,,,,x,
0,93,bumm,,,,x,,,,,,,,,,,,,,,,,,x,
0,94,Boom shack,,,,,,,,,,x,,,,,,,,,,,,x,
0,95,Apita fim da linha,,,,,,,,,,x,,,,,,,,,,,,x,
0,96,1+)=)4758==_),,x,,,,,,,,,,,x,,,,,,,,,,
0,97,Vou,,,,,,,,,,x,,,,,,,,x,,,,,
0,98,Príiii,,,,x,,,,,,,,,,,,,,,,,,x,
0,99,Qualé,,,,,x,,,,,,,,,,x,,,,,,,,
0,100,Biribikam katabam,,x,,,,,,,,,,,x,,,,,,,,,,
0,101,%$*@(#,,x,,,,,,,,,,,x,,,,,,,,,,
0,102,Mané,,,,,,,,,,x,,,,,,x,,,,,,,
0,103,3<&+^$^,,x,,,,,,,,,,,x,,,,,,,,,,
0,104,Cacete voado,,,,,,,,,x,,,,,,,,,,,,x,,
0,105,Me chupa,,,,,,,,,,x,,,,,,,,x,,,,,
0,106,Alevam,,x,,,,,,,,,,,,x,,,,,,,,,
0,107,No cu de curioso,,,,,,,,,,x,,,,x,,,,,,,,,
0,108,Juvyhvin,,x,,,,,,,,,,,x,,,,,,,,,,
0,109,Uiiiii,,,,x,,,,,,,,,,,,,,,,,,x,
0,110,Quem tudo quer tudo tem,,,,,,,,,,x,,,,x,,,,,,,,,
0,111,Temer filha da puta,,,,,,,,x,,,,,,x,,,,,,,,,
0,112,^$^&<3,,x,,,,,,,,,,,x,,,,,,,,,,
0,113,Tudo em ordem?,,,,,x,,,,,,,,,,x,,,,,,,,
0,114,Fora temer,,,,,,,,x,,,,,,x,,,,,,,,,
0,115,Fuera,,,,,,,,x,,,,,,x,,,,,,,,,
0,116,Fierazzz,,,,,,,,,,,,,,,,,,,,,,,x
0,117,Trynotdoordonotthereisnotry,,x,,,,,,,,,,,,x,,,,,,,,,
0,118,Td menos ordem uahhh,,,,,,x,,,,,,,,,,,,,,,,x,
0,119,Por quê,,,,,,x,,,,,,,,,x,,,,,,,,
0,120,P,x,,,,,,,,,,,,x,,,,,,,,,,
0,121,Qué por,,,,,,,,,,x,,,x,,,,,,,,,,
0,122,Metaisss,,,,,,,,,,x,,,,,,,,,,,,x,
0,123,Tudo na mais perfeita desordem,,,,,,x,,,,,,,,x,,,,,,,,,
0,124,Ashuashuashuashua,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,125,666,,,x,,,,,,,,,,x,,,,,,,,,,
0,126,Sim,,,,,,,,,,x,,,,,,,,,,,,,x
0,127,999,,,x,,,,,,,,,,x,,,,,,,,,,
0,128,Funk da periferia,,,,,,,,,,x,,,,,,,,,,,,x,
0,129,...,,,x,,,,,,,,,,x,,,,,,,,,,
0,130,bbcvv,,x,,,,,,,,,,,x,,,,,,,,,,
0,131,Agora vai!!!,,,,,x,,,,,,,,,,,,,,,,,,x
0,132,Yaehhhh,,,,,x,,,,,,,,,,,,,,,,,,x
0,133,Uhuuuu,,,,x,,,,,,,,,,,,,,,,,,,x
0,134,###,,,x,,,,,,,,,,x,,,,,,,,,,
0,135,##,,,x,,,,,,,,,,x,,,,,,,,,,
0,136,Hei,,,,,x,,,,,,,,,,,,,,,,,,
0,137,Não se inclina à orde,,x,,,,,,,,,,,,x,,,,,,,,,
0,138,\\\\m/,,x,,,,,,,,,,,x,,,,,,,,,,
0,139,M,x,,,,,,,,,,,,x,,,,,,,,,,
0,140,Hri,,x,,,,,,,,,,,x,,,,,,,,,,
0,141,#%%#%%#%%#%%#,,,x,,,,,,,,,,x,,,,,,,,,,
0,142,De hoje é dia,,,,,,,,,,x,,,x,,,,,,,,,,
0,143,Heiiiiiiiiiiiiiii,,,,,x,,,,,,,,,,,,,,,,,,
0,144,High yfchjbin,,x,,,,,,,,,,,x,,,,,,,,,,
0,145,))),,,x,,,,,,,,,,x,,,,,,,,,,
0,146,$$,,,x,,,,,,,,,,x,,,,,,,,,,
0,147,Pp,,x,,,,,,,,,,,x,,,,,,,,,,
0,148,1234,,x,,,,,,,,,,,x,,,,,,,,,,
0,149,Vou fazer hoje à noite que se ficar de com o Mimo,,,,,,,,,,x,,,x,,,,,,,,,,
0,150,9/9/,,,x,,,,,,,,,,x,,,,,,,,,,
0,151,**,,,x,,,,,,,,,,x,,,,,,,,,,
0,152,"O ouvido, esse orgao do medo",,,,,,,,,,x,,,,x,,,,,,,,,
0,153,~~~~~~,,,x,,,,,,,,,,x,,,,,,,,,,
0,154,[]{}[]{},,,x,,,,,,,,,,x,,,,,,,,,,
0,155,Lou cadê o som OK,,,,,,x,,,,,,,,,,,,,,,,x,
0,156,Uvdghibbf,,x,,,,,,,,,,,x,,,,,,,,,,
0,157,[]#[]{}#,,,x,,,,,,,,,,x,,,,,,,,,,
0,158,Tudo é  atraso,,,,,,,,,,x,,,,x,,,,,,,,,
0,159,######,,,x,,,,,,,,,,x,,,,,,,,,,
0,160,uuiiuuu,,,,x,,,,,,,,,,,,,,,,,,,x
0,161,_) £) :_==:)_) :,,x,,,,,,,,,,,x,,,,,,,,,,
0,162,Gente,,,,,x,,,,,,,,,,,,,,,,,,x
0,163,()()()()()(),,,x,,,,,,,,,,x,,,,,,,,,,
1,164,€€,,,x,,,,,,,,,,x,,,,,,,,,,
1,165,hjjahaha,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,166,"@@\#$%^&*()[]--+=:;\\\""'`★✩★★✩♡♡÷÷¡¡¿¿※◎◎◎○○●●●»»»««¦©®™˙°²↑↓←→\\\\|§℉℃μμ££¥€",,,,,,,,,,,x,,x,,,,,,,,,,
1,167,GG mmas,,,,,,,,,,x,,,x,,,,,,,,,,
1,168,;;()&@@&&))(;!&)($&$(&$();(,,x,,,,,,,,,,,x,,,,,,,,,,
1,169,Ttttttt,,,x,,,,,,,,,,x,,,,,,,,,,
1,170,Jajajajajajahaha,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,171,Nao,,,,,,,,,,x,,,,,,,,,x,,,,
1,172,°↓↓↑²°™°←→←※○²˙✩※←²◎✩»®●↓↑♡○˙²»°,,,,,,,,,,,x,,x,,,,,,,,,,
1,173,192.168.0.10,,,,,,x,,,,,,,,,,,,,,,,,
1,174,••¥••¥••+••>••###,,,x,,,,,,,,,,x,,,,,,,,,,
1,175,Aiaiaiaiaiaiaiaiaiaiaiaiaiaiaia,,,,x,,,,,,,,,,,,,,,,,x,,
1,176,˙˙↓°ujfrugef,,x,,,,,,,,,,,x,,,,,,,,,,
1,177,Cocô xixi peido,,,,,,,,,x,,,,,,,,,,,,x,,
1,178,Plavtas,,x,,,,,,,,,,,x,,,,,,,,,,
1,179,Yeayejayejayeja,,,,x,,,,,,,,,,,,,,,,,,,x
1,180,Lalalalalalalalalalalalalalalalalalalalalalalalala,,,,x,,,,,,,,,,,,,,,,,,x,
1,181,Já que é pra,,,,,,,,,,x,,,,x,,,,,,,,,
1,182,Novamente,,,,,,x,,,,,,,,x,,,,,,,,,
1,183,Lokoooo,,,,,,x,,,,,,,,,,,,,,,,,x
1,184,As coisas,,,,,,,,,,x,,,x,,,,,,,,,,
1,185,Prarararararatatatatatatatatatata,,,,x,,,,,,,,,,,,,,,,,,x,
1,186,Vvv,,,x,,,,,,,,,,x,,,,,,,,,,
1,187,yyyyyyyuu,,,x,,,,,,,,,,x,,,,,,,,,,
1,188,kkkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,189,335,,x,,,,,,,,,,,x,,,,,,,,,,
1,190,123344,,x,,,,,,,,,,,x,,,,,,,,,,
1,191,E digo mais,,,,,,x,,,,,,,,,,,,x,,,,,
1,192,13,,x,,,,,,,,,,,x,,,,,,,,,,
1,193,......,,,x,,,,,,,,,,x,,,,,,,,,,
1,194,8890,,x,,,,,,,,,,,x,,,,,,,,,,
1,195,Iiiiiiiiiiii,,,x,,,,,,,,,,x,,,,,,,,,,
1,196,E t telefone minha casa,,,,,,,,,,x,,,,,,,,,,,x,,
1,197,74289191,,x,,,,,,,,,,,x,,,,,,,,,,
1,198,~~€~~£~~¥,,,x,,,,,,,,,,x,,,,,,,,,,
1,199,1010101010,,,x,,,,,,,,,,x,,,,,,,,,,
1,200,Je jdnsksjubrb,,x,,,,,,,,,,,x,,,,,,,,,,
1,201,....   cacava,,x,,,,,,,,,,,x,,,,,,,,,,
1,202,Ai meu pescoço,,,,,,,,,,x,,,,,,,,,x,,,,
1,203,Solaris,,,,,,,,,,x,,,,,,,,,,,,,
1,204,Figurmitico,,,,,,,,,,x,,,,,,,,,,,,,x
1,205,Olha pra cima porra,,,,,,,,,,x,,,,,,,x,,,,,,
1,206,Jygfvugfubv,,x,,,,,,,,,,,x,,,,,,,,,,
1,207,Comprrm o mru disco dance music,,,,,,,,,,x,,,,,,,,x,,,,,
1,208,Olha pro lado,,,,,,,,,,x,,,,,,,x,,,,,,
1,209,Lalalalalala,,,,x,,,,,,,,,,,,,,,,,,x,
1,210,Olha pro outro,,,,,,,,,,x,,,,,,,x,,,,,,
1,211,Pr,,x,,,,,,,,,,,x,,,,,,,,,,
1,212,...,,,x,,,,,,,,,,x,,,,,,,,,,
1,213,.,x,,,,,,,,,,,,x,,,,,,,,,,
1,214,Leia o livro gnoise,,,,,,,,,,x,,,,,,,x,,,,,,
1,215,Pra cima,,,,,,x,,,,,,,,,,,,,,,,,x
1,216,Oiu,,,,,x,,,,,,,,,,,,,,,,,,
1,217,Quero ouvir o texto agora. Camoun,,,,,,,,,,x,,,,,,,,x,,,,,
1,218,Gagagahahagagagagaga,,,,x,,,,,,,,,,,,,,,,,,x,
1,219,O que é interagir,,,,,,,,,,x,,,,,x,,,,,,,,
1,220,Lady gaga,,,,,,,x,,,,,,,,,,,,,,,x,
1,221,Madonna,,,,,,,x,,,,,,,,,,,,,,,x,
1,222,. .. . .. . .. . .. .,,,x,,,,,,,,,,x,,,,,,,,,,
1,223,U2,,,,,,,,,,x,,,,,,,,,,,,x,
1,224,Xixi,,,,,,,,,,x,,,,,,,,,,,x,,
1,225,Quem?,,,,,x,,,,,,,,,,x,,,,,,,,
1,226,...,,,x,,,,,,,,,,x,,,,,,,,,,
1,227,....,,,x,,,,,,,,,,x,,,,,,,,,,
1,228,Cagar é bom,,,,,,,,,,x,,,,x,,,,,,,,,
1,229,".$...$.::;:,",,x,,,,,,,,,,,x,,,,,,,,,,
1,230,Peidão cinderela,,,,,,,,,x,,,,,,,,,,,,x,,
1,231,uuuyayauayua,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,232,:::;;:::;;:::,,,x,,,,,,,,,,x,,,,,,,,,,
1,233,babbanananam,,,,x,,,,,,,,,,,,,,,,,,x,
1,234,Fico imaginando yma porra dessa num bar anywhere alhures,,,,,,x,,,,,,,,,,,,x,,,,,
1,235,kkkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,236,!!?!!!?!?!,,,x,,,,,,,,,,x,,,,,,,,,,
1,237,}}},,,x,,,,,,,,,,x,,,,,,,,,,
1,238,kkskam,,,,x,,,,,x,,,,,,,,,,,,x,,x
1,239,^^,,,x,,,,,,,,,,x,,,,,,,,,,
1,240,Tunta tuntatuntatun,,,,x,,,,,,,,,,,,,,,,,,x,
1,241,Uma vez me,,,,,,,,,,x,,,x,,,,,,,,,,
1,242,Me joga na parede,,,,,,,,,,x,,,,,,,x,,,,,,
1,243,iousoau,,x,,,,,,,,,,,x,,,,,,,,,,
1,244,^^*^^*=...>..%*..\\\\>€,,x,,,,,,,,,,,x,,,,,,,,,,
1,245,Texto gutural?,,,,,,x,,,,,,,,,x,,,,,,,x,
1,246,Dizer,,,,,,,,,,x,,,,,,,,,,,,,
1,247,Quero dar moito,,,,,,,,,,x,,,,,,,,x,,,,,
1,248,EE,,,x,,,,,,,,,,x,,,,,,,,,,
1,249,Mosh,,,,,,,,,,x,,,,,,,,,,,,x,
1,250,Antissocial,,,,,,,,,,x,,,,,,,,,x,,,,
1,251,TT,,,x,,,,,,,,,,x,,,,,,,,,,
1,252,)$)$,,,x,,,,,,,,,,x,,,,,,,,,,
1,253,Viveram,,,,,,,,,,x,,,,,,,,,,,,,
1,254,7886,,x,,,,,,,,,,,x,,,,,,,,,,
1,255,.,x,,,,,,,,,,,,x,,,,,,,,,,
1,256,208&6:5@8)3=,,x,,,,,,,,,,,x,,,,,,,,,,
1,257,.........,,,x,,,,,,,,,,x,,,,,,,,,,
1,258,Mosh antisocial?,,,,,,,,,,x,,,,,x,,,,,,,,
1,259,Gaijins malditos,,,,,,,,,,x,,,,x,,,,,,,,,
1,260,Dar mosh sem encostar em ninguem,,,,,,,,,,x,,,,x,,,,,,,,,
1,261,Blasilelo bulo,,,,,,,,x,,,,,,,,x,,,,,,,
1,262,alo,,,,,x,,,,,,,,,,,,,,,,,,
2,263,Helooololllloool,,,,,x,,,,,,,,,,,,,,,,,,
2,264,ssss,,,,,,,,,,,,,x,,,,,,,,,,
2,265,Ado,,,,x,,,,,,,,,x,,,,,,,,,,
2,266,A ado,,x,,,,,,,,,,,x,,,,,,,,,,
2,267,sudo 1234 <b>alo</b>,,,,,,,,,,,,x,,,,,,,,,,,
2,268,Vamos tecer tecer tecer tecer,,,,,,,,,,x,,,,x,,,,,,,,,
2,269,Só tem q manter a postura porque desse jeito camos acabar corcundas com cefaléias,,,,,,x,,,,,,,,,,,,,x,,,,
2,270,Teia,,,,,,x,,,,,,,,,,,,,,,,,x
2,271,hahhahahah,,,,x,,,,,x,,,,,,,,,,,,x,,x
2,272,uuu,,,,x,,,,,,,,,,,,,,,x,,,,
2,273,Tc,,,,,x,,,,,,,,,,,,,,,,,,
2,274,"Naquele trabalho, Jacob Gorender empreendia verdadeira revolução copernicana. Na esfera 4 da economia política, interpretava em forma estru",,,,,,,,,,x,,,x,,,,,,,,,,
2,275,Treta,,,,,,x,,,,,,,,,,,,,,,,,x
2,276,Amor,,,,,,,,,,x,,,,,,,,,,x,,,
2,277,iuuia,,,,x,,,,,,,,,,,,,,,,,,,x
2,278,sudo 1234 <marquee>vendo fusca 69 <b>ligue ja</b></marquee>,,,,,,,,,,,,x,,,,,,,,,,,
2,279,Escoliose,,,,,,,,,,x,,,,,,x,,,,,,,
2,280,Jajajjajajajajajaja,,,,x,,,,,x,,,,,,,,,,,,x,,x
2,281,Insuficiencia renal,,,,,,,,,,x,,,,,,x,,,,,,,
2,282,Aliteracao,,,,,,x,,,,,,,,,,,,,,,,,x
2,283,Cada um no seu quadrado mas com o ruído comum,,,,,,,,,,x,,,,x,,,,,,,,,
2,284,gahge,,x,,,,,,,,,,,x,,,,,,,,,,
2,285,kkhksja,,x,,,,,,,,,,,x,,,,,,,,,,
2,286,Insuficiencia,,,,,,,,,,x,,,,,,,,,x,,,,
2,287,paralise permanente,,,,,,,,,,x,,,,x,,,,,,,,,
2,288,"A produção e a receptividade de O escravismo colonial foram também produtos de sua  época. No Brasil, após o refluxo social dos anos 1968-9",,,,,,,,,,x,,,x,,,,,,,,,,
2,289,$$$$,,,x,,,,,,,,,,x,,,,,,,,,,
2,290,kkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
2,291,Qual o preço do destino ?,,,,,,,,,,x,,,,,x,,,,,,,,
2,292,tttt,,,x,,,,,,,,,,x,,,,,,,,,,
2,293,Esquerdolatrismo,,,,,,,,x,,,,,,,,x,,,,,,,
2,294,Vertigem?,,,,,,,,,,x,,,,,x,,,,,,,,
2,295,carai,,,,,,x,,,,,,,,,,,,,,,,,x
2,296,Golpe !!!!,,,,,,,,x,,,,,,x,,,,,,,,,
2,297,corta!,,,,,,,,,,,,x,,,,,,,,,,,
2,298,Ok vou tentar dormir e acordar só o Mimo e a gente se encontra,,,,,,,,,,x,,,,,,,,x,,,,,
2,299,jhjah,,x,,,,,,,,,,,x,,,,,,,,,,
2,300,Fasci mamado,,,,,,,,x,,,,,,,,x,,,,,,,
2,301,Um forte golpe   Foi muito forte o desequilíbrio e deslocamento causado por O escravismo colonial na  hegemonia das representações dominante,,,,,,,,,,x,,,x,,,,,,,,,,
2,302,Susyenino,,,,,,,,,,,,x,,,,,,,,,,,
2,303,A gente não 👎 a gente tem um pouco a de mais de com a minha gente não tem um pouco mais de,,,,,,,,,,x,,,x,,,,,,,,,,
2,304,sudo 1234 <b><i>hahaha</i</b>,,,,,,,,,,,,x,,,,,,,,,,,
2,305,iii,,,x,,,,,,,,,,x,,,,,,,,,,
2,306,o simpes eh a sintese?,,,,,,x,,,,,,,,,x,,,,,,,,
2,307,Hoje eu faço o que eu não sei 😐 se a ficar que eu não sei o que Mimo festival internacional de uma vez que é tem que o um,,,,,,,,,,x,,,x,,,,,,,,,,
2,308,Ecossistema tropicsl,,,,,,,,,,x,,,,,,,,,,,,,x
2,309,mmmm,,,,x,,,,,,,,,,,,,,,,,,,x
2,310,Simples,,,,,,,,,,x,,,,,,,,,,,,,x
2,311,Me supla,,,,,,,,,,x,,,,,,,,x,,,,,
2,312,lll,,,x,,,,,,,,,,x,,,,,,,,,,
2,313,Tr,,x,,,,,,,,,,,x,,,,,,,,,,
2,314,lklklk,,,,x,,,,,x,,,,,,,,,,,,x,,x
2,315,Trr,,,x,,,,,,,,,,x,,,,,,,,,,
2,316,Xaveco nos tempos modernos,,,,,,x,,,,,,,,x,,,,,,,,,x
2,317,ggggg,,,x,,,,,,,,,,x,,,,,,,,,,
2,318,Ecossistema Tropical 2.0,,,,,,,,,,x,,,,,,,,,,,,,x
2,319,Alo,,,,,x,,,,,,,,,,,,,,,,,,
2,320,Cartografia coletiva,,,,,,x,,,,,,,,,,,,,,,,,x
2,321,Vou tentar o vaca das divinas tetas,,,,,,,,,,x,,,,,,,,x,,,,,
2,322,Telemarketing,,,,,,x,,,,,,,,,,,,,x,,,,
2,323,Ariane soft,,,,,,,x,,,,,,,,,,,,,,,,x
2,324,zzzzz,,,x,,,,,,,,,,,,,,,,x,,,,
2,325,Djéia amor,,,,,,,x,,,,,,,,,,,,,x,,,
2,326,oie,,,,,x,,,,,,,,,,,,,,,,,,
3,327,A gente tem não só 👎 e eu não sei o se,,,,,,,,,,x,,,x,,,,,,,,,,
3,328,Uma das melhores do coisas t  O seu perfil no foi a gente,,,,,,,,,,x,,,x,,,,,,,,,,
3,329,O que tem uma coisa de uma coisa que é que tem que ser uma coisa que tem que um ☝️ que de,,,,,,,,,,x,,,x,,,,,,,,,,
3,330,You de hoje à tarde,,,,,,,,,,x,,,x,,,,,,,,,,
3,331,Acabou ??,,,,,x,x,,,,,,,,,x,,,,,,,,
3,332,jeodjenkrkf,,x,,,,,,,,,,,x,,,,,,,,,,
3,333,aewwwww,,,,,x,,,,,,,,,,,,,,,,,,x
3,334,aloooop,,,,,x,,,,,,,,,,,,,,,,,,
3,335,boaaa,,,,,,x,,,,,,,,,,,,,,,,,x
3,336,Loopplkhvffgcxdfgv,,x,,,,,,,,,,,x,,,,,,,,,,
3,337,Cadê a caneta?,,,,,,x,,,,,,,,,x,,,,,,,,x
3,338,kendocnbalslfl,,x,,,,,,,,,,,x,,,,,,,,,,
3,339,Crazucker,x,,,,,,,,,,,,x,,,,,,,,,,
3,340,janrlfneoskfn,,x,,,,,,,,,,,x,,,,,,,,,,
3,341,.,x,,,,,,,,,,,,x,,,,,,,,,,
3,342,the book isn't on the table,,,,,,,,,,x,,,,x,,,,,,,,,
3,343,sudo 1234 <script>for(i=0;i<10;i++) send('ola') </script>,,,,,,,,,,,,x,,,,,,,,,,,
3,344,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,345,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,346,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,347,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,348,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,349,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,350,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,351,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,352,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,353,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,354,ola,,,,,x,,,,,,,,,,,,,,,,,,
3,355,ola,,,,,x,,,,,,,,,,,,,,,,,,
